"name_sci","name_e","name_c","lat","lon","survey_dat","province","county","location","national_l","IUCN_redli","endemic_c","data_sourc","data_owner"
"Alectoris chukar","Chukor Partridge","石鸡",34.81667,111.2,NA,"","","山西平陆县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.8,113.63333,NA,"","","山西平定县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",39,112.2,200407,"","","",0,6,0,"中国观鸟年报, 2004.","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",34.88333,112.78333,NA,"","","山西孟县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",38.66667,111.95833,198400,"","","山西芦芽山自然保护区",0,6,0,"刘焕金,苏化龙,1986","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",36.83333,111.78333,NA,"","","山西灵石县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",35.36667,112.23333,198300,"","","山西历山自然保护区",0,6,0,"张旭强,史荣耀,2003","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",38.7,111.5,NA,"","","山西岢岚县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.03333,111.83333,NA,"","","山西介休市",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.5,112.1,NA,"","","山西交城县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.33333,113.55,NA,"","","山西和顺县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.88333,111.23333,NA,"","","山西方山县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",39.2,113.26667,NA,"","","山西繁峙县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",38.48333,112.95,NA,"","","山西定襄县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",39.06667,112.95,NA,"","","山西代县",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",40,113.6,NA,"","","山西大同市",0,6,0,"李湘涛,1996","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",36.66667,117.24167,196500,"","","山东泰山",0,6,0,"杜恒勤,1985","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",36.66667,117.24167,195608,"","","山东泰山",0,6,0,"动物所标本(34006)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",36.5,117.2,197900,"","","山东泰安市泰山",0,6,0,"杜恒勤,1985","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",35,101.4,196004,"","","青海泽库县",0,6,0,"动物所标本(40291)","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",35.76667,102.65833,198106,"","","青海孟达林场",0,6,0,"许树仁,1983","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.51667,105.18333,NA,"","","宁夏中卫县",0,6,0,"王香亭主编,1990","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.7,107.4,198010,"","","宁夏盐池县",0,6,0,"刘乃发,王香亭,1965","Ding, Changqing"
"Alectoris chukar","Chukor Partridge","石鸡",37.7,107.4,NA,"","","宁夏盐池县",0,6,0,"王香亭主编,1990","Ding, Changqing"
